"АЗС","Партнер","Регион","Мегарегион"
"1",Учебный класс,,
"1001","Альфа-Инвест (""ПЕТРО-ОЙЛ"")",Республика Карелия,Центр
"1002","Альфа-Инвест (""ПЕТРО-ОЙЛ"")",Республика Карелия,Центр
"1003","Альфа-Инвест (""ПЕТРО-ОЙЛ"")",Республика Карелия,Центр
"1004","Альфа-Инвест (""ПЕТРО-ОЙЛ"")",Республика Карелия,Центр
"1005","Альфа-Инвест (""ПЕТРО-ОЙЛ"")",Республика Карелия,Центр
"11",Учебный класс НСК,,
"1100",test network,Краснодарский край,Центр
"1111",ГНП-сеть стенды,Санкт-Петербург,
"1112",ГНП-сеть стенды,Санкт-Петербург,
"1113",ГНП-сеть стенды,Санкт-Петербург,
"12",Учебный класс НСК,,
"13",Учебный класс НСК,,
"1301",АвтОйл,Республика Мордовия,Центр
"1401",АО Саханефтегазсбыт,Республика Саха (Якутия),Сибирь
"1402",АО Саханефтегазсбыт,Республика Саха (Якутия),Сибирь
"1403",АО Саханефтегазсбыт,Республика Саха (Якутия),Сибирь
"1404",АО Саханефтегазсбыт,Республика Саха (Якутия),Сибирь
"1405",АО Саханефтегазсбыт,Республика Саха (Якутия),Сибирь
"1411",АО Саханефтегазсбыт,,
"1412",АО Саханефтегазсбыт,,
"1413",АО Саханефтегазсбыт,,
"1414",АО Саханефтегазсбыт,Республика Саха (Якутия),Сибирь
"1415",АО Саханефтегазсбыт,,
"1416",АО Саханефтегазсбыт,,
"1417",АО Саханефтегазсбыт,,
"1418",АО Саханефтегазсбыт,,
"1419",АО Саханефтегазсбыт,,
"1420",АО Саханефтегазсбыт,,
"1421",АО Саханефтегазсбыт,,
"1422",АО Саханефтегазсбыт,,
"1423",АО Саханефтегазсбыт,,
"1424",АО Саханефтегазсбыт,,
"1425",АО Саханефтегазсбыт,,
"1601",НУР,Республика Татарстан,Урал
"1602",КамаТрансНефть,Республика Татарстан,Урал
"1603",Транснефтепродукт,Республика Татарстан,Урал
"1604",НУР,Республика Татарстан,Урал
"1701",ИП Кара-Сал,Республика Тыва,Сибирь
"1702",ИП Абилова,Республика Тыва,Сибирь
"1703",ИП Абилова,Республика Тыва,Сибирь
"1704",ИП Монгуш,Республика Тыва,Сибирь
"1705",ИП Монгуш,Республика Тыва,Сибирь
"1706",ИП Абилов Д.А.,Республика Тыва,Сибирь
"1707",ИП Кара-Сал,Республика Тыва,Сибирь
"1708",ИП Белозёров,Республика Тыва,Сибирь
"1711",Финансовая экспертиза,Республика Тыва,Сибирь
"1901",Роснефтепродукт,Республика Хакасия,Сибирь
"1902",САЯН,Республика Хакасия,Сибирь
"1903",САЯН,Республика Хакасия,Сибирь
"1905",САЯН,Республика Хакасия,Сибирь
"1909",САЯН,Республика Хакасия,Сибирь
"1917",ИП Белозёров,Республика Хакасия,Сибирь
"1999",ГПН Азия Тест,Республика Адыгея,
"2",Учебный класс,,
"22004",АлтайОптимум,Алтайский край,Сибирь
"2201",АлтайОптимум,Алтайский край,Сибирь
"2202",Регион Нефтепродукт (Алтай),Алтайский край,Сибирь
"2203",Регион Нефтепродукт (Алтай),Алтайский край,Сибирь
"2204",Сиб-Ойл,Алтайский край,Сибирь
"2205",Сиб-Ойл,Алтайский край,Сибирь
"2206",Сиб-Ойл,Алтайский край,Сибирь
"2207",Сиб-Ойл,Алтайский край,Сибирь
"2208",Сиб-Ойл,Алтайский край,Сибирь
"2209",Сиб-Ойл,Алтайский край,Сибирь
"2210",АлтайОптимум,Алтайский край,Сибирь
"2211",Сиб-Ойл,Алтайский край,Сибирь
"2212",АлтайОптимум,Алтайский край,Сибирь
"2213",Октан Алтай (Оптима),Алтайский край,Сибирь
"2214",Октан Алтай (Оптима),Республика Алтай,Сибирь
"2215",Октан Алтай (Оптима),Алтайский край,Сибирь
"2216",Октан Алтай (Оптима),Алтайский край,Сибирь
"2217",АлтайОптимум,Алтайский край,Сибирь
"2218",Барсик,Алтайский край,Сибирь
"2219",Октан Алтай (Оптима),Алтайский край,Сибирь
"2220",Сиб-Ойл,Алтайский край,Сибирь
"2221",Энерготранс,Республика Алтай,Сибирь
"2222",Сиб-Ойл,Алтайский край,Сибирь
"2223",Сиб-Ойл,Алтайский край,Сибирь
"2224",ИП Сидоров,Алтайский край,Сибирь
"2225",Регион Нефтепродукт (Алтай),Республика Алтай,Сибирь
"2226",Регион Нефтепродукт (Алтай),Республика Алтай,Сибирь
"2228",ИП Сидоров,Алтайский край,Сибирь
"2301","ИП Введенский (""Ремстройсервис"")",Краснодарский край,Центр
"2302",Юг-Ойл-сервис,Краснодарский край,Центр
"2304",КНК,Краснодарский край,Центр
"2305",КНК,Краснодарский край,Центр
"2306",КНК,Краснодарский край,Центр
"2307",НефтьБизнес Сервис,Краснодарский край,Центр
"2308",Фарис,Краснодарский край,Центр
"2309",КНК,Краснодарский край,Центр
"2310",КНК,Краснодарский край,Центр
"2401",ЕвроОйл (Красноярск),Красноярский край,Сибирь
"2402",КвиаС трейд,Красноярский край,Сибирь
"2403",ИП Журавлевич,,
"2404",ЕвроОйл (Красноярск),Красноярский край,Сибирь
"2405","ПКФ ""Северный Ветер""",Красноярский край,Сибирь
"2406",ИП Мальчиков,Красноярский край,Сибирь
"2407",Криолит Плюс,Красноярский край,Сибирь
"2408",Криолит Плюс,Красноярский край,Сибирь
"2409",ИП Мальчиков,Красноярский край,Сибирь
"2410","ЛЮКСОЙЛ (""Магистраль Красноярск"")",Красноярский край,Сибирь
"2411","ЛЮКСОЙЛ (""Магистраль Красноярск"")",Красноярский край,Сибирь
"2412",ГПН АЗС,Красноярский край,Сибирь
"2413",ГПН АЗС,Красноярский край,Сибирь
"2414",ГПН АЗС,Красноярский край,Сибирь
"2415",ГПН АЗС,Красноярский край,Сибирь
"2416",ГПН АЗС,Красноярский край,Сибирь
"2417",ГПН АЗС,Красноярский край,Сибирь
"2418",ГПН АЗС,Красноярский край,Сибирь
"2419",КвиаС трейд,Красноярский край,Сибирь
"2420",КвиаС трейд,Красноярский край,Сибирь
"2421",Октан-Маркет,Красноярский край,Сибирь
"2422","ЛЮКСОЙЛ (""Магистраль Красноярск"")",Красноярский край,Сибирь
"2423",КиТ,Красноярский край,Сибирь
"2424",ЕвроОйл (Красноярск),Красноярский край,Сибирь
"2425",Криолит Плюс,Красноярский край,Сибирь
"2426","ПКФ ""Северный Ветер""",Красноярский край,Сибирь
"2427",Криолит Плюс,Красноярский край,Сибирь
"2428",КиТ,Красноярский край,Сибирь
"2429",КиТ,Красноярский край,Сибирь
"2430",КиТ,Красноярский край,Сибирь
"2431",КиТ,Красноярский край,Сибирь
